0,0,77,301
0,0,0,0
0,0,0,330
0,0,0,330
0,0,0,338
0,0,0,327
0,0,0,312
0,0,0,350
0,0,0,308
0,0,0,340
0,0,0,331
0,0,0,315
0,0,168,121
0,0,0,116
0,0,85,141
100,0,0,583
100,0,0,564
100,0,0,551
150,0,0,631
150,0,0,640
150,0,188,608
150,0,160,614
200,163,60,667
200,0,230,705
200,0,240,712
300,105,188,716
300,158,128,724
300,192,204,738
350,280,90,736
350,289,185,747
350,285,53,735
350,261,110,744
400,410,345,752
400,450,415,768
400,457,420,768
400,424,343,756
400,429,378,747
500,475,444,799
500,399,472,790
500,409,473,799
550,460,486,818
550,451,511,804
700,585,575,814
700,590,582,816
700,598,569,814
700,587,587,812
800,647,472,818
800,621,576,808
800,632,578,807
800,637,560,811
800,621,599,803
800,633,490,808
800,644,520,812
900,660,529,847
900,620,756,825
900,674,747,844
900,688,751,850
1000,604,627,872
1000,598,610,867
1000,616,634,874
1500,690,716,903
1500,706,737,908
1500,709,735,907
1600,715,810,907
1700,733,855,895
1700,733,855,895
1700,735,854,895
1800,675,803,900
1800,682,806,901
1800,684,807,901
2000,715,820,914
2000,733,830,919
2000,740,834,921
